Í∏∞Í∞Ñ	?êÏπòÍµ????∏Î?	Í≥?Í≥?Í≥??úÍµ≠???úÍµ≠???úÍµ≠???±Î°ù?∏Íµ≠???±Î°ù?∏Íµ≠???±Î°ù?∏Íµ≠???∏Î??πÏù∏Íµ?65?∏Ïù¥?ÅÍ≥†?πÏûê												
Í∏∞Í∞Ñ	?êÏπòÍµ????∏Î?	?∏Íµ¨	?®Ïûê	?¨Ïûê	?∏Íµ¨	?®Ïûê	?¨Ïûê	?∏Íµ¨	?®Ïûê	?¨Ïûê	?∏Î??πÏù∏Íµ?65?∏Ïù¥?ÅÍ≥†?πÏûê			
2008.2/4	"?±Î∂ÅÍµ??ïÎä•3??8,154"	"19,343"	"9,642"	"9,701"	"19,166"	"9,574"	"9,592"	177	68	109	2.33	"2,193"		
2008.2/4	"?±Î∂ÅÍµ??ïÎä•4??10,688"	"28,360"	"14,043"	"14,317"	"28,197"	"13,964"	"14,233"	163	79	84	2.61	"2,665"		
2008.2/4	"?±Î∂ÅÍµ?Í∏∏Ïùå1??10,186"	"28,973"	"14,064"	"14,909"	"28,726"	"13,959"	"14,767"	247	105	142	2.78	"2,118"		
2008.2/4	"?±Î∂ÅÍµ?Í∏∏Ïùå2??8,968"	"21,167"	"10,351"	"10,816"	"21,075"	"10,310"	"10,765"	92	41	51	2.33	"2,118"		
2008.2/4	"?±Î∂ÅÍµ??îÍ≥°1??10,248"	"27,657"	"13,783"	"13,874"	"27,148"	"13,576"	"13,572"	509	207	302	2.62	"2,410"		
2008.2/4	"?±Î∂ÅÍµ??îÍ≥°2??8,273"	"21,860"	"10,849"	"11,011"	"21,629"	"10,754"	"10,875"	231	95	136	2.59	"2,112"		
2008.2/4	"?±Î∂ÅÍµ??•ÏúÑ1??10,757"	"28,215"	"14,085"	"14,130"	"27,639"	"13,825"	"13,814"	576	260	316	2.55	"2,497"		
2008.2/4	"?±Î∂ÅÍµ??•ÏúÑ2??9,876"	"24,716"	"12,513"	"12,203"	"24,593"	"12,464"	"12,129"	123	49	74	2.47	"2,435"		
2008.2/4	"?±Î∂ÅÍµ??•ÏúÑ3??7,912"	"19,156"	"9,857"	"9,299"	"18,962"	"9,762"	"9,200"	194	95	99	2.38	"2,021"		
2008.2/4	"?±Î∂ÅÍµ??±Î∂Å??8,225"	"19,913"	"9,640"	"10,273"	"19,186"	"9,320"	"9,866"	727	320	407	2.31	"2,410"		
2008.2/4	"?±Î∂ÅÍµ??ºÏÑ†??11,613"	"27,869"	"13,645"	"14,224"	"27,079"	"13,282"	"13,797"	790	363	427	2.31	"2,761"		
2008.2/4	"?±Î∂ÅÍµ??ôÏÑ†??7,289"	"15,544"	"7,213"	"8,331"	"15,250"	"7,092"	"8,158"	294	121	173	2.08	"1,605"		
2008.2/4	"?±Î∂ÅÍµ?Ï¢ÖÏïî??14,481"	"36,897"	"18,623"	"18,274"	"36,439"	"18,415"	"18,024"	458	208	250	2.49	"3,413"		
2008.2/4	"?±Î∂ÅÍµ??ùÍ???15,041"	"37,993"	"19,131"	"18,862"	"37,286"	"18,819"	"18,467"	707	312	395	2.46	"3,500"		
2008.2/4	Í∞ïÎ∂ÅÍµ??©Í≥Ñ	"135,640"	"346,477"	"171,635"	"174,842"	"343,043"	"170,322"	"172,721"	"3,434"	"1,313"	"2,121"	2.51	"35,692"	
2008.2/4	"Í∞ïÎ∂ÅÍµ?Î≤???8,574"	"20,431"	"10,048"	"10,383"	"20,083"	"9,916"	"10,167"	348	132	216	2.33	"1,998"		
2008.2/4	"Í∞ïÎ∂ÅÍµ?Î≤???8,221"	"21,407"	"10,576"	"10,831"	"21,311"	"10,548"	"10,763"	96	28	68	2.57	"2,157"		
2008.2/4	"Í∞ïÎ∂ÅÍµ?Î≤???7,786"	"22,436"	"10,893"	"11,543"	"22,375"	"10,873"	"11,502"	61	20	41	2.85	"2,497"		
2008.2/4	"Í∞ïÎ∂ÅÍµ??òÏú†1??9,433"	"23,796"	"11,958"	"11,838"	"23,247"	"11,749"	"11,498"	549	209	340	2.45	"2,462"		
2008.2/4	"Í∞ïÎ∂ÅÍµ??òÏú†2??9,089"	"23,813"	"11,735"	"12,078"	"23,712"	"11,703"	"12,009"	101	32	69	2.59	"2,744"		
2008.2/4	"Í∞ïÎ∂ÅÍµ??òÏú†3??10,410"	"24,351"	"12,080"	"12,271"	"24,136"	"11,987"	"12,149"	215	93	122	2.3	"2,669"		
2008.2/4	"Í∞ïÎ∂ÅÍµ??ºÏñë??13,260"	"33,890"	"16,931"	"16,959"	"33,052"	"16,619"	"16,433"	838	312	526	2.47	"3,194"		
2008.2/4	"Í∞ïÎ∂ÅÍµ?ÎØ∏ÏïÑ??10,186"	"24,979"	"12,484"	"12,495"	"24,727"	"12,381"	"12,346"	252	103	149	2.41	"2,375"		
2008.2/4	"Í∞ïÎ∂ÅÍµ??°Ï§ë??14,260"	"36,707"	"18,025"	"18,682"	"36,412"	"17,908"	"18,504"	295	117	178	2.53	"3,583"		
2008.2/4	"Í∞ïÎ∂ÅÍµ??°Ï≤ú??13,744"	"33,343"	"16,595"	"16,748"	"33,082"	"16,488"	"16,594"	261	107	154	2.39	"3,574"		
2008.2/4	Í∞ïÎ∂ÅÍµ??ºÍ∞Å?∞Îèô	"8,546"	"24,880"	"12,348"	"12,532"	"24,807"	"12,318"	"12,489"	73	30	43	2.87	"1,898"	
2008.2/4	"Í∞ïÎ∂ÅÍµ??∞Ïù¥??8,638"	"22,016"	"11,045"	"10,971"	"21,865"	"10,985"	"10,880"	151	60	91	2.51	"2,662"		
2008.2/4	"Í∞ïÎ∂ÅÍµ??∏Ïàò??13,493"	"34,428"	"16,917"	"17,511"	"34,234"	"16,847"	"17,387"	194	70	124	2.52	"3,879"		
2008.2/4	?ÑÎ¥âÍµ??©Í≥Ñ	"139,292"	"378,275"	"187,425"	"190,850"	"375,532"	"186,303"	"189,229"	"2,743"	"1,122"	"1,621"	2.67	"33,800"	
2008.2/4	"?ÑÎ¥âÍµ??çÎ¨∏1??8,965"	"23,972"	"11,885"	"12,087"	"23,548"	"11,718"	"11,830"	424	167	257	2.61	"2,483"		
2008.2/4	"?ÑÎ¥âÍµ??çÎ¨∏2??8,276"	"21,934"	"10,841"	"11,093"	"21,830"	"10,805"	"11,025"	104	36	68	2.62	"1,992"		
2008.2/4	"?ÑÎ¥âÍµ??çÎ¨∏3??7,421"	"19,228"	"9,410"	"9,818"	"19,124"	"9,365"	"9,759"	104	45	59	2.55	"1,798"		
2008.2/4	"?ÑÎ¥âÍµ??çÎ¨∏4??7,496"	"22,232"	"10,824"	"11,408"	"22,200"	"10,814"	"11,386"	32	10	22	2.94	"1,718"		
2008.2/4	"?ÑÎ¥âÍµ?Î∞©Ìïô1??11,956"	"33,607"	"16,759"	"16,848"	"33,140"	"16,566"	"16,574"	467	193	274	2.75	"2,671"		
2008.2/4	"?ÑÎ¥âÍµ?Î∞©Ìïô2??9,694"	"24,956"	"12,620"	"12,336"	"24,805"	"12,561"	"12,244"	151	59	92	2.54	"2,296"		
2008.2/4	"?ÑÎ¥âÍµ?Î∞©Ìïô3??10,980"	"33,157"	"16,403"	"16,754"	"33,104"	"16,380"	"16,724"	53	23	30	2.99	"2,732"		
2008.2/4	"?ÑÎ¥âÍµ?Ï∞???11,009"	"30,019"	"14,685"	"15,334"	"29,472"	"14,444"	"15,028"	547	241	306	2.65	"2,602"		
2008.2/4	"?ÑÎ¥âÍµ?Ï∞???12,271"	"32,145"	"15,907"	"16,238"	"31,945"	"15,808"	"16,137"	200	99	101	2.58	"2,593"		
2008.2/4	"?ÑÎ¥âÍµ?Ï∞???6,630"	"16,897"	"8,503"	"8,394"	"16,827"	"8,481"	"8,346"	70	22	48	2.52	"1,495"		
2008.2/4	"?ÑÎ¥âÍµ?Ï∞???11,373"	"31,531"	"15,374"	"16,157"	"31,477"	"15,349"	"16,128"	54	25	29	2.74	"2,490"		
2008.2/4	"?ÑÎ¥âÍµ?Ï∞???10,262"	"28,970"	"14,268"	"14,702"	"28,876"	"14,229"	"14,647"	94	39	55	2.79	"2,325"		
2008.2/4	"?ÑÎ¥âÍµ??ÑÎ¥â1??10,717"	"26,419"	"13,371"	"13,048"	"26,058"	"13,231"	"12,827"	361	140	221	2.42	"3,093"		
2008.2/4	"?ÑÎ¥âÍµ??ÑÎ¥â2??12,242"	"33,208"	"16,575"	"16,633"	"33,126"	"16,552"	"16,574"	82	23	59	2.68	"3,512"		
2008.2/4	?∏ÏõêÍµ??©Í≥Ñ	"223,648"	"620,608"	"304,242"	"316,366"	"615,901"	"302,196"	"313,705"	"4,707"	"2,046"	"2,661"	2.73	"51,728"	
2008.2/4	"?∏ÏõêÍµ??îÍ≥Ñ1??6,943"	"19,573"	"9,738"	"9,835"	"18,706"	"9,340"	"9,366"	867	398	469	2.66	"1,659"		
2008.2/4	"?∏ÏõêÍµ??îÍ≥Ñ2??10,622"	"28,153"	"13,741"	"14,412"	"28,048"	"13,701"	"14,347"	105	40	65	2.61	"2,756"		
2008.2/4	"?∏ÏõêÍµ??îÍ≥Ñ3??9,701"	"27,702"	"13,728"	"13,974"	"27,664"	"13,714"	"13,950"	38	14	24	2.81	"2,162"		
2008.2/4	"?∏ÏõêÍµ??îÍ≥Ñ4??8,799"	"20,797"	"10,427"	"10,370"	"20,616"	"10,352"	"10,264"	181	75	106	2.32	"2,372"		
2008.2/4	"?∏ÏõêÍµ?Í≥µÎ¶â2??16,511"	"47,314"	"23,479"	"23,835"	"46,900"	"23,296"	"23,604"	414	183	231	2.81	"3,165"		
2008.2/4	"?∏ÏõêÍµ??òÍ≥Ñ1??11,459"	"31,808"	"15,415"	"16,393"	"31,602"	"15,307"	"16,295"	206	108	98	2.75	"2,887"		
2008.2/4	"?∏ÏõêÍµ??òÍ≥Ñ2??8,880"	"26,864"	"13,118"	"13,746"	"26,825"	"13,102"	"13,723"	39	16	23	3	"2,043"		
2008.2/4	?∏ÏõêÍµ?Ï§ëÍ≥ÑÎ≥∏Îèô	"10,116"	"31,339"	"15,491"	"15,848"	"30,810"	"15,241"	"15,569"	529	250	279	3.03	"2,100"	
2008.2/4	"?∏ÏõêÍµ?Ï§ëÍ≥Ñ1??9,899"	"31,687"	"15,564"	"16,123"	"31,628"	"15,545"	"16,083"	59	19	40	3.18	"1,800"		
2008.2/4	"?∏ÏõêÍµ?Ï§ëÍ≥Ñ2??6,537"	"18,807"	"9,022"	"9,785"	"18,794"	"9,018"	"9,776"	13	4	9	2.84	"1,641"		
2008.2/4	"?∏ÏõêÍµ?Ï§ëÍ≥Ñ3??9,013"	"24,554"	"11,583"	"12,971"	"24,457"	"11,538"	"12,919"	97	45	52	2.69	"3,057"		
2008.2/4	"?∏ÏõêÍµ?Ï§ëÍ≥Ñ4??8,547"	"24,625"	"11,984"	"12,641"	"23,949"	"11,714"	"12,235"	676	270	406	2.78	"2,235"		
2008.2/4	"?∏ÏõêÍµ??ÅÍ≥Ñ1??14,254"	"41,244"	"20,442"	"20,802"	"41,117"	"20,387"	"20,730"	127	55	72	2.86	"3,485"		
2008.2/4	"?∏ÏõêÍµ??ÅÍ≥Ñ2??8,384"	"22,976"	"11,403"	"11,573"	"22,884"	"11,366"	"11,518"	92	37	55	2.71	"1,856"		
2008.2/4	"?∏ÏõêÍµ??ÅÍ≥Ñ5??9,267"	"25,139"	"12,358"	"12,781"	"25,027"	"12,315"	"12,712"	112	43	69	2.68	"2,291"		
2008.2/4	"?∏ÏõêÍµ??ÅÍ≥Ñ8??9,510"	"27,718"	"13,487"	"14,231"	"27,690"	"13,480"	"14,210"	28	7	21	2.87	"1,850"		
2008.2/4	"?∏ÏõêÍµ??ÅÍ≥Ñ9??9,223"	"25,863"	"12,641"	"13,222"	"25,823"	"12,632"	"13,191"	40	9	31	2.77	"1,905"		
2008.2/4	"?∏ÏõêÍµ??ÅÍ≥Ñ10??8,110"	"21,451"	"10,237"	"11,214"	"21,425"	"10,230"	"11,195"	26	7	19	2.61	"1,596"		
2008.2/4	"?∏ÏõêÍµ?Í≥µÎ¶â1.3??16,316"	"42,220"	"20,757"	"21,463"	"41,438"	"20,393"	"21,045"	782	364	418	2.51	"3,277"		
2008.2/4	"?∏ÏõêÍµ??ÅÍ≥Ñ3.4??16,792"	"42,392"	"21,338"	"21,054"	"42,220"	"21,283"	"20,937"	172	55	117	2.49	"4,695"		
2008.2/4	"?∏ÏõêÍµ??ÅÍ≥Ñ6.7??14,765"	"38,382"	"18,289"	"20,093"	"38,278"	"18,242"	"20,036"	104	47	57	2.56	"2,896"		
2008.2/4	?Ä?âÍµ¨	?©Í≥Ñ	"180,014"	"457,464"	"226,026"	"231,438"	"452,727"	"224,052"	"228,675"	"4,737"	"1,974"	"2,763"	2.49	"44,217"
2008.2/4	?Ä?âÍµ¨	"?πÎ≤à??15,481"	"36,771"	"17,963"	"18,808"	"36,271"	"17,743"	"18,528"	500	220	280	2.32	"3,692"	
2008.2/4	?Ä?âÍµ¨	"Î∂àÍ¥ë1??14,307"	"35,062"	"17,145"	"17,917"	"34,657"	"16,971"	"17,686"	405	174	231	2.4	"3,700"	
2008.2/4	?Ä?âÍµ¨	"Î∂àÍ¥ë2??13,479"	"33,026"	"16,379"	"16,647"	"32,787"	"16,285"	"16,502"	239	94	145	2.42	"3,386"	
2008.2/4	?Ä?âÍµ¨	"Í∞àÌòÑ1??10,712"	"27,500"	"13,593"	"13,907"	"27,128"	"13,444"	"13,684"	372	149	223	2.52	"2,498"	
2008.2/4	?Ä?âÍµ¨	"Í∞àÌòÑ2??10,618"	"28,149"	"13,656"	"14,493"	"27,937"	"13,564"	"14,373"	212	92	120	2.61	"2,508"	
2008.2/4	?Ä?âÍµ¨	"Íµ¨ÏÇ∞??11,233"	"33,195"	"17,141"	"16,054"	"33,044"	"17,088"	"15,956"	151	53	98	2.92	"3,204"	
2008.2/4	?Ä?âÍµ¨	?ÄÏ°∞Îèô	"13,237"	"32,003"	"15,454"	"16,549"	"31,618"	"15,282"	"16,336"	385	172	213	2.37	"3,270"
2008.2/4	?Ä?âÍµ¨	"?ëÏïî1??13,620"	"33,879"	"16,584"	"17,295"	"33,137"	"16,280"	"16,857"	742	304	438	2.41	"3,114"	
2008.2/4	?Ä?âÍµ¨	"?ëÏïî2??10,019"	"23,529"	"11,763"	"11,766"	"23,433"	"11,725"	"11,708"	96	38	58	2.32	"2,482"	
2008.2/4	?Ä?âÍµ¨	"?ëÏïî3??11,471"	"28,111"	"13,991"	"14,120"	"27,885"	"13,911"	"13,974"	226	80	146	2.41	"3,018"	
2008.2/4	?Ä?âÍµ¨	"?†ÏÇ¨1??10,246"	"27,757"	"13,658"	"14,099"	"27,322"	"13,451"	"13,871"	435	207	228	2.64	"2,388"	
2008.2/4	?Ä?âÍµ¨	"?†ÏÇ¨2??9,366"	"24,795"	"12,629"	"12,166"	"24,714"	"12,594"	"12,120"	81	35	46	2.62	"2,074"	
2008.2/4	?Ä?âÍµ¨	"Ï¶ùÏÇ∞??8,544"	"22,229"	"11,112"	"11,117"	"22,040"	"11,047"	"10,993"	189	65	124	2.55	"2,066"	
2008.2/4	?Ä?âÍµ¨	"?òÏÉâ??8,478"	"21,343"	"10,590"	"10,753"	"21,077"	"10,481"	"10,596"	266	109	157	2.46	"2,363"	
2008.2/4	?Ä?âÍµ¨	"ÏßÑÍ???1,420"	"3,708"	"1,861"	"1,847"	"3,647"	"1,836"	"1,811"	61	25	36	2.54	463	
2008.2/4	?Ä?âÍµ¨	"??¥å??17,783"	"46,407"	"22,507"	"23,900"	"46,030"	"22,350"	"23,680"	377	157	220	2.56	"3,991"	
2008.2/4	?úÎ?Î¨∏Íµ¨	?©Í≥Ñ	"142,356"	"351,386"	"171,695"	"179,691"	"342,325"	"167,523"	"174,802"	"9,061"	"4,172"	"4,889"	2.38	"36,421"
2008.2/4	?úÎ?Î¨∏Íµ¨	"Ï≤úÏó∞??7,904"	"19,407"	"9,510"	"9,897"	"19,176"	"9,415"	"9,761"	231	95	136	2.4	"2,211"	
2008.2/4	?úÎ?Î¨∏Íµ¨	"?çÏ†ú1??11,518"	"29,426"	"14,203"	"15,223"	"28,816"	"13,922"	"14,894"	610	281	329	2.48	"3,110"	
2008.2/4	?úÎ?Î¨∏Íµ¨	"?çÏ†ú2??6,036"	"20,965"	"10,240"	"10,725"	"20,879"	"10,208"	"10,671"	86	32	54	2.69	"2,438"	
2008.2/4	?úÎ?Î¨∏Íµ¨	"?çÏ†ú3??8,328"	"16,481"	"7,977"	"8,504"	"16,339"	"7,918"	"8,421"	142	59	83	2.49	"1,633"	
2008.2/4	?úÎ?Î¨∏Íµ¨	"?çÏ?1??11,199"	"29,745"	"14,732"	"15,013"	"29,113"	"14,435"	"14,678"	632	297	335	2.58	"3,271"	
2008.2/4	?úÎ?Î¨∏Íµ¨	"?çÏ?2??11,365"	"29,630"	"14,590"	"15,040"	"29,295"	"14,416"	"14,879"	335	174	161	2.56	"2,982"	
2008.2/4	?úÎ?Î¨∏Íµ¨	"?®Í?Ï¢???6,689"	"15,662"	"7,758"	"7,904"	"15,105"	"7,511"	"7,594"	557	247	310	2.24	"1,856"	
2008.2/4	?úÎ?Î¨∏Íµ¨	"?®Í?Ï¢???12,364"	"31,212"	"15,368"	"15,844"	"30,995"	"15,272"	"15,723"	217	96	121	2.49	"3,086"	
2008.2/4	?úÎ?Î¨∏Íµ¨	"Î∂ÅÍ?Ï¢???6,381"	"16,239"	"8,149"	"8,090"	"15,912"	"8,015"	"7,897"	327	134	193	2.47	"1,621"	
2008.2/4	?úÎ?Î¨∏Íµ¨	"Î∂ÅÍ?Ï¢???12,800"	"33,619"	"16,614"	"17,005"	"33,506"	"16,571"	"16,935"	113	43	70	2.59	"3,219"	
2008.2/4	?úÎ?Î¨∏Íµ¨	"Ï∂©ÌòÑ??10,441"	"23,775"	"11,778"	"11,997"	"23,515"	"11,652"	"11,863"	260	126	134	2.24	"2,656"	
2008.2/4	?úÎ?Î¨∏Íµ¨	Î∂ÅÏïÑ?ÑÎèô	"9,001"	"20,370"	"9,785"	"10,585"	"19,773"	"9,501"	"10,272"	597	284	313	2.18	"1,944"
2008.2/4	?úÎ?Î¨∏Íµ¨	"?†Ï¥å??10,139"	"20,836"	"9,464"	"11,372"	"18,450"	"8,426"	"10,024"	"2,386"	"1,038"	"1,348"	1.8	"1,794"	
2008.2/4	?úÎ?Î¨∏Íµ¨	"?∞Ìù¨??18,191"	"44,019"	"21,527"	"22,492"	"41,451"	"20,261"	"21,190"	"2,568"	"1,266"	"1,302"	2.26	"4,600"	
2008.2/4	ÎßàÌè¨Íµ??©Í≥Ñ	"168,365"	"400,349"	"195,968"	"204,381"	"392,129"	"191,996"	"200,133"	"8,220"	"3,972"	"4,248"	2.3	"36,441"	
2008.2/4	"ÎßàÌè¨Íµ??©Í∞ï??9,072"	"22,304"	"10,870"	"11,434"	"22,076"	"10,760"	"11,316"	228	110	118	2.4	"1,999"		
2008.2/4	ÎßàÌè¨Íµ??Ä?•Îèô	"9,042"	"17,194"	"8,390"	"8,804"	"16,139"	"7,893"	"8,246"	"1,055"	497	558	1.77	"1,645"	
2008.2/4	"ÎßàÌè¨Íµ??ºÎ¶¨??8,439"	"19,656"	"9,613"	"10,043"	"19,053"	"9,324"	"9,729"	603	289	314	2.24	"1,844"		
2008.2/4	"ÎßàÌè¨Íµ??†Ïàò??9,450"	"22,763"	"11,375"	"11,388"	"22,319"	"11,140"	"11,179"	444	235	209	2.33	"2,041"		
2008.2/4	"ÎßàÌè¨Íµ??úÍµê??16,012"	"30,717"	"14,384"	"16,333"	"30,100"	"14,094"	"16,006"	617	290	327	1.87	"2,720"		
2008.2/4	"ÎßàÌè¨Íµ??©Ï†ï??9,178"	"21,608"	"10,652"	"10,956"	"21,287"	"10,502"	"10,785"	321	150	171	2.28	"1,941"		
2008.2/4	"ÎßàÌè¨Íµ?ÎßùÏõê1??9,978"	"24,845"	"12,270"	"12,575"	"24,354"	"12,062"	"12,292"	491	208	283	2.42	"2,129"		
2008.2/4	"ÎßàÌè¨Íµ?ÎßùÏõê2??8,284"	"21,390"	"10,552"	"10,838"	"21,304"	"10,515"	"10,789"	86	37	49	2.55	"1,799"		
2008.2/4	"ÎßàÌè¨Íµ??∞ÎÇ®??8,801"	"20,830"	"10,177"	"10,653"	"19,755"	"9,636"	"10,119"	"1,075"	541	534	2.23	"1,951"		
2008.2/4	"ÎßàÌè¨Íµ??±ÏÇ∞1??8,192"	"20,431"	"10,093"	"10,338"	"20,013"	"9,911"	"10,102"	418	182	236	2.42	"1,784"		
2008.2/4	"ÎßàÌè¨Íµ??±ÏÇ∞2??15,468"	"41,375"	"20,178"	"21,197"	"41,249"	"20,122"	"21,127"	126	56	70	2.63	"3,463"		
2008.2/4	"ÎßàÌè¨Íµ??ÅÏïî??7,748"	"21,445"	"10,728"	"10,717"	"21,319"	"10,652"	"10,667"	126	76	50	2.71	"1,727"		
2008.2/4	"ÎßàÌè¨Íµ??ÑÌôî??9,105"	"23,974"	"11,646"	"12,328"	"23,509"	"11,387"	"12,122"	465	259	206	2.56	"2,518"		
2008.2/4	"ÎßàÌè¨Íµ??úÍ∞ï??11,764"	"26,509"	"12,832"	"13,677"	"26,042"	"12,601"	"13,441"	467	231	236	2.19	"2,068"		
2008.2/4	"ÎßàÌè¨Íµ?Í≥µÎçï??16,632"	"39,573"	"19,522"	"20,051"	"38,271"	"18,926"	"19,345"	"1,302"	596	706	2.28	"4,105"		
2008.2/4	"ÎßàÌè¨Íµ??ÑÌòÑ??11,200"	"25,735"	"12,686"	"13,049"	"25,339"	"12,471"	"12,868"	396	215	181	2.24	"2,707"		
2008.2/4	?ëÏ≤úÍµ??©Í≥Ñ	"182,221"	"507,831"	"253,209"	"254,622"	"502,355"	"250,697"	"251,658"	"5,476"	"2,512"	"2,964"	2.73	"34,579"	
2008.2/4	"?ëÏ≤úÍµ?Î™???10,304"	"31,598"	"15,490"	"16,108"	"31,335"	"15,349"	"15,986"	263	141	122	3.02	"1,699"		
2008.2/4	"?ëÏ≤úÍµ?Î™???11,963"	"32,124"	"15,973"	"16,151"	"31,845"	"15,846"	"15,999"	279	127	152	2.64	"2,292"		
2008.2/4	"?ëÏ≤úÍµ?Î™???9,275"	"23,699"	"11,688"	"12,011"	"23,533"	"11,624"	"11,909"	166	64	102	2.51	"1,646"		
2008.2/4	"?ëÏ≤úÍµ?Î™???10,512"	"29,494"	"14,800"	"14,694"	"29,271"	"14,699"	"14,572"	223	101	122	2.77	"1,851"		
2008.2/4	"?ëÏ≤úÍµ?Î™???6,963"	"22,164"	"10,988"	"11,176"	"22,070"	"10,945"	"11,125"	94	43	51	3.16	"1,240"		
2008.2/4	"?ëÏ≤úÍµ?Î™???7,931"	"25,606"	"12,706"	"12,900"	"25,532"	"12,670"	"12,862"	74	36	38	3.21	"1,411"		
2008.2/4	"?ëÏ≤úÍµ??†Ïõî1??10,060"	"25,297"	"12,949"	"12,348"	"24,965"	"12,817"	"12,148"	332	132	200	2.46	"1,738"		
2008.2/4	"?ëÏ≤úÍµ??†Ïõî2??8,861"	"23,963"	"12,056"	"11,907"	"23,825"	"12,003"	"11,822"	138	53	85	2.66	"1,801"		
2008.2/4	"?ëÏ≤úÍµ??†Ïõî3??7,813"	"18,655"	"9,570"	"9,085"	"18,359"	"9,455"	"8,904"	296	115	181	2.33	"1,461"		
2008.2/4	"?ëÏ≤úÍµ??†Ïõî4??6,514"	"18,709"	"9,402"	"9,307"	"18,590"	"9,359"	"9,231"	119	43	76	2.82	"1,426"		
2008.2/4	"?ëÏ≤úÍµ??†Ïõî5??5,749"	"15,168"	"7,541"	"7,627"	"14,990"	"7,464"	"7,526"	178	77	101	2.59	"1,135"		
2008.2/4	"?ëÏ≤úÍµ??†Ïõî6??6,042"	"15,661"	"7,903"	"7,758"	"15,494"	"7,839"	"7,655"	167	64	103	2.54	"1,176"		
2008.2/4	"?ëÏ≤úÍµ??†Ïõî7??9,547"	"26,675"	"13,376"	"13,299"	"26,456"	"13,292"	"13,164"	219	84	135	2.74	"2,226"		
2008.2/4	"?ëÏ≤úÍµ??†Ï†ï1??8,661"	"25,372"	"12,584"	"12,788"	"24,729"	"12,256"	"12,473"	643	328	315	2.84	"1,647"		
2008.2/4	"?ëÏ≤úÍµ??†Ï†ï2??7,530"	"23,438"	"11,663"	"11,775"	"23,152"	"11,523"	"11,629"	286	140	146	3.06	"1,507"		
2008.2/4	"?ëÏ≤úÍµ??†Ï†ï3??19,068"	"51,085"	"25,400"	"25,685"	"50,185"	"24,962"	"25,223"	900	438	462	2.6	"3,311"		
2008.2/4	"?ëÏ≤úÍµ??†Ï†ï4??7,196"	"17,906"	"8,910"	"8,996"	"17,617"	"8,786"	"8,831"	289	124	165	2.42	"1,262"		
2008.2/4	"?ëÏ≤úÍµ??†Ï†ï5??7,702"	"18,892"	"9,421"	"9,471"	"18,612"	"9,299"	"9,313"	280	122	158	2.4	"1,445"		
2008.2/4	"?ëÏ≤úÍµ??†Ï†ï6??8,850"	"28,077"	"13,836"	"14,241"	"27,957"	"13,772"	"14,185"	120	64	56	3.14	"1,515"		
2008.2/4	"?ëÏ≤úÍµ??†Ï†ï7??11,680"	"34,248"	"16,953"	"17,295"	"33,838"	"16,737"	"17,101"	410	216	194	2.88	"2,790"		
2008.2/4	Í∞ïÏÑúÍµ??©Í≥Ñ	"219,787"	"579,188"	"286,076"	"293,112"	"572,374"	"282,756"	"289,618"	"6,814"	"3,320"	"3,494"	2.58	"44,057"	
2008.2/4	"Í∞ïÏÑúÍµ??ºÏ∞Ω??14,153"	"42,165"	"20,930"	"21,235"	"41,924"	"20,808"	"21,116"	241	122	119	2.93	"2,406"		
2008.2/4	"Í∞ïÏÑúÍµ??±Ï¥å1??8,306"	"21,772"	"10,833"	"10,939"	"21,287"	"10,618"	"10,669"	485	215	270	2.53	"1,560"		
2008.2/4	"Í∞ïÏÑúÍµ??±Ï¥å2??8,276"	"23,016"	"11,561"	"11,455"	"22,946"	"11,530"	"11,416"	70	31	39	2.75	"1,538"		
2008.2/4	"Í∞ïÏÑúÍµ??±Ï¥å3??14,781"	"39,184"	"18,798"	"20,386"	"39,096"	"18,766"	"20,330"	88	32	56	2.63	"3,840"		
2008.2/4	Í∞ïÏÑúÍµ??îÍ≥°Î≥∏Îèô	"14,171"	"35,289"	"17,399"	"17,890"	"35,010"	"17,268"	"17,742"	279	131	148	2.44	"2,297"	
2008.2/4	"Í∞ïÏÑúÍµ??îÍ≥°1??8,867"	"22,960"	"11,357"	"11,603"	"21,569"	"10,798"	"10,771"	"1,391"	559	832	2.41	"1,665"		
2008.2/4	"Í∞ïÏÑúÍµ??îÍ≥°2??7,932"	"20,683"	"10,241"	"10,442"	"20,538"	"10,180"	"10,358"	145	61	84	2.56	"1,391"		
2008.2/4	"Í∞ïÏÑúÍµ??îÍ≥°3??8,749"	"24,248"	"11,894"	"12,354"	"24,105"	"11,831"	"12,274"	143	63	80	2.73	"1,821"		
2008.2/4	"Í∞ïÏÑúÍµ??îÍ≥°4??9,166"	"22,922"	"11,431"	"11,491"	"22,716"	"11,332"	"11,384"	206	99	107	2.46	"1,742"		
2008.2/4	"Í∞ïÏÑúÍµ??îÍ≥°5??9,675"	"26,132"	"12,891"	"13,241"	"26,007"	"12,836"	"13,171"	125	55	70	2.66	"1,595"		
2008.2/4	"Í∞ïÏÑúÍµ??îÍ≥°6??9,671"	"24,868"	"12,252"	"12,616"	"24,740"	"12,201"	"12,539"	128	51	77	2.53	"1,720"		
2008.2/4	"Í∞ïÏÑúÍµ??îÍ≥°7??11,273"	"29,103"	"14,447"	"14,656"	"28,843"	"14,339"	"14,504"	260	108	152	2.53	"2,054"		
